OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
23960,2016,NonResidential,Distribution Center,Terminal Leasing,GREATER DUWAMISH,1947,1.0,1,21349,0,21349,Distribution Center,70.0,713915.5,0.0,390044.0,269718.0,17.04,0.8
23963,2016,NonResidential,Warehouse,Bayview Building,GREATER DUWAMISH,1936,1.0,1,38630,0,38630,Non-Refrigerated Warehouse,33.0,416885.5938,0.0,416886.0,0.0,2.91,0.08
23975,2016,NonResidential,Warehouse,Airport Way Ctr - Bldg D,GREATER DUWAMISH,1985,1.0,1,22803,0,22803,Non-Refrigerated Warehouse,78.0,859387.1875,0.0,413650.0,350444.0,21.5,0.94
23977,2016,NonResidential,Refrigerated Warehouse,Pacific Food Importers,GREATER DUWAMISH,1951,1.0,1,41550,0,41550,Refrigerated Warehouse,94.0,642645.1875,0.0,642645.0,0.0,4.48,0.11
24018,2016,NonResidential,K-12 School,St. Edward School,SOUTHEAST,1912,1.0,2,42252,0,42252,K-12 School,49.0,2617491.25,0.0,318351.0,1885408.0,102.35,2.42
24029,2016,NonResidential,Worship Facility,GRACE APOSTOLIC CHURCH,SOUTHEAST,1981,1.0,3,22895,0,22895,Worship Facility,96.0,505585.0,0.0,226988.0,213431.0,12.92,0.56
24030,2016,NonResidential,Retail Store,King Plaza 6951,GREATER DUWAMISH,2002,1.0,2,54211,17471,36740,Retail Store,100.0,1267463.125,0.0,1267463.0,0.0,8.84,0.16
24083,2016,NonResidential,Warehouse,1024-1048 6th Ave S,GREATER DUWAMISH,1937,1.0,1,52325,0,52325,Non-Refrigerated Warehouse,67.0,919070.8125,0.0,540429.0,268539.0,18.03,0.34
24089,2016,NonResidential,Retail Store,646 S HOLGATE ST,GREATER DUWAMISH,1944,1.0,1,25880,0,25880,Retail Store,100.0,162960.0,0.0,162960.0,0.0,1.14,0.04
24091,2016,NonResidential,Warehouse,"Total Reclaim, Inc",GREATER DUWAMISH,1960,1.0,1,45842,0,45842,Non-Refrigerated Warehouse,99.0,847703.375,0.0,671187.0,148167.0,12.55,0.27
24102,2016,NonResidential,Warehouse,Ingersoll Rand Building,GREATER DUWAMISH,1966,1.0,1,20520,0,20520,Non-Refrigerated Warehouse,20.0,1284942.5,0.0,458877.0,709011.0,40.85,1.99
24104,2016,NonResidential,Warehouse,CF Resource,GREATER DUWAMISH,1945,1.0,1,22972,0,22972,Non-Refrigerated Warehouse,12.0,539778.5,0.0,495481.0,0.0,3.45,0.15
24105,2016,NonResidential,Warehouse,625 Building,GREATER DUWAMISH,1953,1.0,1,24990,0,24990,Non-Refrigerated Warehouse,80.0,550746.6875,0.0,414213.0,109401.0,8.7,0.35
24112,2016,NonResidential,Distribution Center,FleetPride,GREATER DUWAMISH,1966,1.0,1,24354,0,24354,Distribution Center,10.0,735907.8125,0.0,472280.0,263628.0,17.29,0.71
24115,2016,NonResidential,Distribution Center,Stusser Electric,GREATER DUWAMISH,1959,1.0,1,33600,0,33600,Distribution Center,58.0,918950.6875,0.0,642794.0,204625.0,15.35,0.46
24132,2016,NonResidential,Refrigerated Warehouse,820 South Adams Building: 820 South Adams Street,GREATER DUWAMISH,1957,1.0,1,25520,0,25520,Refrigerated Warehouse,100.0,1777297.75,0.0,575346.0,1035448.0,59.0,2.31
24170,2016,NonResidential,Small- and Mid-Sized Office,Willow Creek (Buildings 1 & 2),NORTH,1974,1.0,2,24291,0,24291,Office,87.0,920430.625,0.0,920430.0,0.0,6.42,0.26
24172,2016,NonResidential,Retail Store,Les Schwab Tire Center #396,NORTH,1958,1.0,2,20738,0,20738,Retail Store,44.0,526752.8125,0.0,526753.0,0.0,3.67,0.18
24180,2016,NonResidential,Medical Office,Pac Med Northgate,NORTH,1986,1.0,2,28385,7056,21329,Medical Office,1.0,2654316.0,0.0,2654315.0,0.0,18.5,0.65
24209,2016,NonResidential,Small- and Mid-Sized Office,Ed Wyse Building,GREATER DUWAMISH,1983,1.0,1,23143,0,23143,Office,75.0,1328072.5,0.0,469813.0,670168.0,38.87,1.68
24216,2016,NonResidential,Small- and Mid-Sized Office,Lamar Advertising Company,GREATER DUWAMISH,1962,1.0,1,28800,0,28800,Office,73.0,2438706.5,0.0,786547.0,1028822.0,60.12,2.09
24218,2016,NonResidential,Warehouse,Dutch Boy Building,GREATER DUWAMISH,1952,1.0,1,39600,0,39600,Non-Refrigerated Warehouse,85.0,405050.4063,0.0,405050.0,0.0,2.82,0.07
24219,2016,NonResidential,Warehouse,SB Warehouse,GREATER DUWAMISH,1952,1.0,1,39600,0,39600,Non-Refrigerated Warehouse,91.0,522105.3125,0.0,338683.0,129714.0,9.25,0.23
24225,2016,NonResidential,Distribution Center,2900,GREATER DUWAMISH,1937,1.0,1,41248,0,41248,Distribution Center,37.0,1180859.625,0.0,918219.0,190092.0,16.5,0.4
24244,2016,NonResidential,Worship Facility,West Side Presbyterian Church,SOUTHWEST,1948,1.0,2,35864,0,35864,Worship Facility,75.0,1404208.25,0.0,467833.0,760281.0,43.64,1.22
24250,2016,NonResidential,Worship Facility,St. George Parish,GREATER DUWAMISH,1954,1.0,1,20484,0,20484,Worship Facility,69.0,961253.6875,0.0,115043.0,707593.0,38.38,1.87
